frame.time_epoch	frame.protocols	frame.len	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.port	tcp.len	tcp.seq	tcp.ack	tcp.flags.ack	tcp.flags.syn
1596425444.664597591	eth:ethertype:ip:tcp:ssl	130	192.168.0.158	172.217.12.161	40492	443	40492	64	518	5256	1	0
1596425444.664991918	eth:ethertype:ip:tcp:ssl	158	192.168.0.158	172.217.12.161	40492	443	40492	92	582	5256	1	0
1596425444.665203344	eth:ethertype:ip:tcp:ssl	443	192.168.0.158	172.217.12.161	40492	443	40492	377	674	5256	1	0
1596425444.689100489	eth:ethertype:ip:tcp:ssl	646	172.217.12.161	192.168.0.158	443	40492	443	580	5256	582	1	0
1596425444.689117013	eth:ethertype:ip:tcp:ssl	97	172.217.12.161	192.168.0.158	443	40492	443	31	5836	674	1	0
1596425444.689150985	eth:ethertype:ip:tcp	66	192.168.0.158	172.217.12.161	40492	443	40492	0	1051	5867	1	0
1596425444.689251371	eth:ethertype:ip:tcp:ssl	97	192.168.0.158	172.217.12.161	40492	443	40492	31	1051	5867	1	0
1596425444.689826508	eth:ethertype:ip:tcp:ssl	497	172.217.12.161	192.168.0.158	443	40492	443	431	5867	1051	1	0
1596425444.689838474	eth:ethertype:ip:tcp:ssl	1484	172.217.12.161	192.168.0.158	443	40492	443	1418	6298	1051	1	0
1596425444.689855550	eth:ethertype:ip:tcp	66	192.168.0.158	172.217.12.161	40492	443	40492	0	1082	7716	1	0
1596425444.689874232	eth:ethertype:ip:tcp:ssl	922	172.217.12.161	192.168.0.158	443	40492	443	856	7716	1051	1	0
1596425444.689877683	eth:ethertype:ip:tcp:ssl	105	172.217.12.161	192.168.0.158	443	40492	443	39	8572	1051	1	0
1596425444.690286034	eth:ethertype:ip:tcp	66	192.168.0.158	172.217.12.161	40492	443	40492	0	1082	8611	1	0
1596425444.690844685	eth:ethertype:ip:tcp:ssl	105	192.168.0.158	172.217.12.161	40492	443	40492	39	1082	8611	1	0
